Time (s),Forward Acceleration (cm/s^2),Roll (deg),Label
16.5153919902913,-33,2.16291750355712,Other
16.5253874393204,-42,2.03400189076232,Other
16.5353828883495,-38,1.90508627796753,Other
16.5453783373786,-12,1.77617066517273,Other
16.5553737864078,18,1.64725505237794,Other
16.5653692354369,36,1.53266339656034,Other
16.575364684466,49,1.41807174074275,Other
16.5853601334951,60,1.30348008492515,Other
16.5953555825243,53,1.18888842910755,Other
16.6053510315534,38,1.05997281631276,Other
16.6153464805825,30,0.931057203517964,Other
16.6253419296116,32,0.816465547700368,Other
16.6353373786408,29,0.701873891882773,Other
16.6453328276699,15,0.601606193042377,COM-Above-Toe-Right
16.655328276699,5,0.51566245117918,Other
16.6653237257282,15,0.444042666293183,Other
16.6753191747573,17,0.386746838384385,Other
16.6853146237864,25,0.343774967452787,Other
16.6953100728155,50,0.300803096521188,Other
16.7053055218447,84,0.25783122558959,Other
16.7153009708738,108,0.243507268612391,Other
16.7252964199029,131,0.229183311635191,Other
16.735291868932,143,0.214859354657992,Other
16.7452873179612,145,0.171887483726393,Other
16.7552827669903,139,0.128915612794795,Other
16.7652782160194,129,0.100267698840396,Other
16.7752736650485,97,0.0429718709315983,Other
16.7852691140777,61,0.0,Other
16.7952645631068,64,-0.0859437418631967,Other
16.8052600121359,120,-0.171887483726393,Other
16.815255461165,187,-0.272155182566789,Other
16.8252509101942,240,-0.358098924429986,Other
16.8352463592233,255,-0.415394752338784,Other
16.8452418082524,158,-0.472690580247582,Other
16.8552372572815,22,-0.529986408156379,Other
16.8652327063107,-10,-0.587282236065177,Other
16.8752281553398,-64,-0.630254106996776,Other
16.8852236043689,-162,-0.673225977928374,Other
16.8952190533981,-234,-0.75916971979157,Other
16.9052145024272,-361,-0.931057203517964,Other
16.9152099514563,-471,-1.17456447213035,Other
16.9252054004854,-492,-1.46104361167434,Other
16.9352008495146,-475,-1.76184670819553,Other
16.9451962985437,-507,-1.99103001983072,Other
16.9551917475728,-468,-2.13426958960272,Other
16.9651871966019,-350,-2.17724146053432,Toe-Off-Right
16.9751826456311,-225,-2.13426958960272,Other
16.9851780946602,-158,-2.03400189076232,Other
16.9951735436893,-129,-1.90508627796753,Other
17.0051689927184,-107,-1.76184670819553,Other
17.0151644417476,-75,-1.61860713842354,Other
17.0251598907767,-46,-1.47536756865154,Other
17.0351553398058,-60,-1.33212799887955,Other
17.0451507888349,-105,-1.23186030003915,Other
17.0551462378641,-127,-1.13159260119876,Other
17.0651416868932,-127,-1.03132490235836,Other
17.0751371359223,-121,-0.931057203517964,Other
17.0851325849515,-71,-0.75916971979157,Other
17.0951280339806,-57,-0.544310365133579,Other
17.1051234830097,-108,-0.286479139543989,Other
17.1151189320388,-123,-0.0286479139543989,Other
17.125114381068,-103,0.214859354657992,Other
17.1351098300971,-79,0.458366623270382,Other
17.1451052791262,-56,0.687549934905573,Other
17.1551007281553,-23,0.916733246540764,Other
17.1650961771845,16,1.14591655817596,Other
17.1750916262136,44,1.38942382678835,Other
17.1850870752427,62,1.61860713842354,Other
17.1950825242718,63,1.83346649308153,Other
17.205077973301,58,2.03400189076232,Other
17.2150734223301,57,2.22021333146591,Other
17.2250688713592,53,2.37777685821511,Other
17.2350643203883,53,2.4923685140327,Other
17.2450597694175,67,2.5639882989187,Other
17.2550552184466,74,2.5926362128731,Other
17.2650506674757,69,2.5783122558959,Other
17.2750461165049,45,2.5496643419415,Other
17.285041565534,32,2.5066924710099,Other
17.2950370145631,24,2.43507268612391,Other
17.3050324635922,14,2.32048103030631,Other
17.3150279126214,-12,2.14859354657992,Other
17.3250233616505,-38,1.97670606285352,Other
17.3350188106796,-33,1.80481857912713,Other
17.3450142597087,-15,1.64725505237794,Other
17.3550097087379,-20,1.51833943958314,Other
17.365005157767,-36,1.44671965469714,Other
17.3750006067961,-33,1.44671965469714,Heal-Down-Right
17.3849960558252,13,1.48969152562874,Other
17.3949915048544,92,1.51833943958314,Other
17.4049869538835,189,1.56131131051474,Other
17.4149824029126,280,1.57563526749194,Other
17.4249778519417,347,1.58995922446914,Other
17.4349733009709,383,1.57563526749194,Other
17.44496875,371,1.53266339656034,Other
